Period,EQ,Social_Search_Impressions,Social_Search_Working_cost,Digital_Impressions,Digital_Working_cost,Print_Impressions.Ads40,Print_Working_Cost.Ads50,OOH_Impressions,OOH_Working_Cost,SOS_pct,Digital_Impressions_pct,CCFOT,Median_Temp,Median_Rainfall,Fuel_Price,Inflation,Trade_Invest,Brand_Equity,Avg_EQ_Price,Any_Promo_pct_ACV,Any_Feat_pct_ACV,Any_Disp_pct_ACV,EQ_Base_Price,Est_ACV_Selling,pct_ACV,Avg_no_of_Items,pct_PromoMarketDollars_Category,RPI_Category,Magazine_Impressions_pct,TV_GRP,Competitor1_RPI,Competitor2_RPI,Competitor3_RPI,Competitor4_RPI,EQ_Category,EQ_Subcategory,pct_PromoMarketDollars_Subcategory,RPI_Subcategory
2017 - Period:2,355.6522644,5830766.8,26952.7393938,102927,27483,1.66666487709696E-05,1.99993896484375E-05,1194151624,4330490,1.4018432156,17,100,40.95,0.2475,9.645,0.0268836406,454.7,44.45,51.50271562,11.696305,2.87,2.4454,1.5877948404,7380596234,30.97894426,2.56394635,0.0498,37.39311863,14.795401,22.25,102.1497604,35.95465036,42.73663842,63.97001458,1891870.591,363513.0314,0.2779883868,41.4267552161
2017 - Period:3,286.705586,3402795.8,5502.714,1637277,23234,1.66666595083878E-05,1.99996948242188E-05,702871751,2171253,0.1929914968,3.8283962262,96.4285714286,43.55,0.24,9.746,0.0221292627,1147.54,44.45,54.82475011,7.823443514,2.87,0.038114894,1.5862129121,6985499502,30.42009063,2.315481574,0.027,39.48445383,25.155795401,26.45,107.7055227,38.89233978,44.82409436,68.54778981,2004044.027,383228.1569,0.1473204006,43.3133265225
2017 - Period:4,361.4447145,1989489.2,3713.646,1909387,23844,6651401.00000667,120894.503036259,708232875,1219533,0.1724872075,0.064,100,53.15,0.74,9.979,0.0207397849,602.87,43.9785714286,50.55602627,7.75910162,5.559574532,1.038114894,1.5906335174,5705338201,24.55633687,2.437552555,0.0435,37.07722813,42.081557954,24.345,99.55116086,35.66301282,41.09825991,62.12917301,2148189.37,459954.8066,0.1979804532,40.3389159024
2017 - Period:5,378.2739106,8342124.6,34039.1405048,2262738,31259.415896856,8910371.90000267,182109.363903258,63009885,300082.933333333,21.0785206051,0.0038525597,69.5652173913,57.25,0.6175,10.046,0.0179311828,877.3,43.85,50.80336884,7.275259871,5.550839042,0.218207121,1.5952349363,5765487737,24.60411843,2.437094633,0.0287,38.07171164,41.146686086,31.231,103.7010469,33.49793635,41.82217926,61.96259384,2374795.883,645477.096,0.0779993554,43.1044380647
2017 - Period:6,300.9220559,21830378.8,98309.5534952,7324082.2,111398.203088496,10595345.2600011,239751.406688758,130612190.4,136100.765490196,11.9990733305,0.0453472237,100,67.6,0.455,10.03,0.0158721505,390.58,43.85,57.95709697,7.990102192,3.87,1.207121,1.647474304,5537742006,23.77870608,2.509644942,0.0099,44.15067215,39.4921744673,12.341,116.0987152,37.77341011,53.14956001,76.89681663,2674460.512,818710.965,0.0247505472,49.7357373353
2017 - Period:7,367.5470472,26451030.6,153276.592,7140598.2,99043.671973536,9058154.10400043,207179.200542685,43253453.4,350.5505882353,15.4630098487,30,90,75.05,0.6,9.624,0.0154343011,980.42,43.5928571429,51.16997032,8.22895238,5.521487651,4.032723608,1.6097945816,5375142814,24.40702786,2.495958571,0.0391,39.07415837,55.709094209,11.436,102.2554468,38.9695155,44.27864345,66.46604287,2727062.938,799657.5538,0.1083898422,43.7705660211
2017 - Period:8,385.53789,17438860.2,83166.3762394,6985266.8,86689.573386264,3623261.64161017,103589.600281343,23326167,275271,4.1011801689,39,100,74.25,0.465,9.777,0.0164387097,741.2,43.37,51.489262,7.120304418,5.582391396,0.962303407,1.6575048471,5359121245,24.80542119,2.446321271,0.0379,39.21004606,100,34.3,103.5906061,35.38346566,45.01946023,67.80109055,2606894.637,746305.3712,0.1077448405,44.2015663272
2017 - Period:9,332.1503773,16791295.4,79887.514,1850034.6,8292.645025488,1449304.65665407,51794.8001506713,11384657.4,5093726,2.681314649,0.0133535493,63.8408304498,71.1,0.29,10.278,0.0185803226,931.58,43.37,52.58413227,7.05601396,5.844973325,3.551042056,1.641433095,5525007009,25.13559289,2.414489436,0.0328,39.93345167,7.0809505655,12.2,103.8453866,37.59247847,45.4441946,66.66230378,2266495.228,569190.0087,0.1079225092,45.0421345543
2017 - Period:10,237.7135844,22401179,97681.9839628,3060150,53411.0551743115,579721.862671627,25897.4000853356,28807.2,4551668,6.9508227864,16,100,68.9,0.105,10.933,0.0202164516,803.09,43.43,58.94417911,6.517570482,1.87,4.542056,1.6763232868,5413244913,23.8208583,2.422907861,0.00997,42.15348153,8.0809505655,33.452,115.7900253,40.99914055,48.51507,75.55580103,1997388.511,425334.0232,0.0485790747,46.1542964691
2017 - Period:11,193.3007544,5460378,20061.6320002,8394528.4,170507.762784032,231888.745078651,12948.7000526678,4737188189,1749420,21.1631707981,5,100,57.35,0.5675,10.423,0.0187268817,494.75,43.61,59.99146871,0.490239408,3.87,5.5542056,1.6833062733,5112101236,21.84731559,2.417040709,0.000338,43.81510046,9.0809505655,42.342,119.2324944,49.59798765,50.25328013,73.35213669,1882591.148,343376.7067,0.0019265315,47.5229598322
2017 - Period:12,179.2925035,13622474.6,48446.0840024,1165477.6,11915.1326510336,92755.4980414604,6474.3500363339,460401463,4147380,9.2091034989,18,100,44.05,0.165,10.71,0.020427957,1158.19,43.61,60.55213491,0.328644909,2.87,0.042056,1.7013607522,4743181459,20.88503184,2.394601672,0.000238,43.46628595,10.0809505655,15.342,121.7807344,47.32223879,48.11000271,73.75335702,1666900.398,282930.3995,0.0016588784,47.2297150684
2017 - Period:13,173.2373049,13429065.2,70851.44307,18300508.6,146194.616546751,37102.1992265842,3237.175028167,4287275953,3081670,31.3712309007,24,100,36.25,0.19,10.375,0.0197387097,703.52,43.61,60.67786872,0.538218852,3.87,0.033275573,1.7025184094,4462125013,19.89274619,2.355238236,0.00131,43.82917152,11.9505655102,16.2,121.8896469,57.79779387,50.75372632,72.36783163,1610351.525,258255.9299,0.0116386284,46.7519593236
2018 - Period:1,247.3154761,2829923.6,9938.1700014,12930499,38723,14840.8797006337,1618.5875240835,4485764714,888405,24.4439943285,10,83.3333333333,29.95,0.155,10.633,0.0180290323,571.28,42.78,54.55110748,6.823757723,1.87,0.294481475,1.7302018179,4723806760,20.49501515,2.442940808,0.0546,38.67637691,17.095056551,27.4452,107.289052,39.95369923,49.15358948,65.06475511,1645094.597,320624.477,0.3135714714,42.6705323373
2018 - Period:2,284.1832918,7135487.2,19605.9340002,9837263,76374,5936.3518902535,809.2937720417,3897647717,4478309,22.3929438534,9.1765255293,20,37.55,0.49,10.876,0.0216138249,4672.32,42.78,55.71559339,16.53844835,3.87,0.044761006,1.6378883146,4885584886,21.03597474,2.441304552,0.069,39.45845883,10.5655102,28.342,110.9249541,42.06462378,50.63067266,66.77421557,1791357.204,340550.0339,0.4300507033,42.9081497239
2018 - Period:3,274.4307568,986267.6,4560.7420004,7635432,96352,2374.5407661014,404.6468960209,4035966228,1574045,0.4078509795,0.83,100,39.9,0.315,10.738,0.0214281106,1987.18,42.78,45.75784366,13.12176418,5.745515574,0.251034119,1.4904209694,4489806007,14.34044224,2.373127402,0.0701,32.48371839,14.0505655102,19.452,89.64980128,33.66406503,41.94094798,57.58349716,1919431.786,384255.6322,0.3287969789,35.4807308591
2018 - Period:4,205.4999844,10052303.2,24718.5539884,5932837,123452,949.8163164406,202.3234580104,4220223990,2113974,0.2973972143,32,81.25,45.9,0.33,11.255,0.0225490323,824.64,42.4425,51.8931499,8.603562298,1.87,1.315427875,1.4611497319,3400703123,14.17660408,2.380412964,0.0116,37.44135801,16.9505655102,10.2,100.6896746,37.94362683,47.56254104,63.89726566,2010362.037,468177.8792,0.0472804407,40.7967692057
2018 - Period:5,250.555064,15235414,47249.1266194,3006588.2,36791.8245021987,379.9265365762,101.1617390052,412042080,450487,0.4518056469,4.2720284291,70.5882352941,62.425,0.395,11.784,0.0245412903,365.43,42.33,49.79009438,8.34197587,1.87,1.136835226,1.4557208666,3529935987,14.61139579,2.376467139,0.0282,36.33485966,17.0809505655,21.342,97.0106887,36.12551332,44.80722005,59.01686676,2242374.168,607623.5341,0.0797051772,39.6294881627
2018 - Period:6,278.3175236,15378465.6,58338.8931204,5454810,74906.4983683706,151.9706246305,50.5808795026,349353239,2949638,0.4085578049,17.4685168323,100,71.4,0.5725,12.045,0.0261453763,1168.95,42.33,46.62340387,8.972686855,1.87,1.761351571,1.4737541885,3397924709,14.08154163,2.447067848,0.0303,35.06248741,14.0505655102,12.452,90.38899785,34.10690902,41.0910685,58.30102122,2715526.999,798281.1536,0.0780741783,38.5176080545
2018 - Period:7,284.8954797,26489230.8,80510.7694532,5686252.6,67940.3706664828,6567260.78824985,87161.4904397513,1876621874.1,5224427.6,19.1384072565,0.7373757274,100,75.75,0.545,11.732,0.026715914,1041.39,42.605,44.78256864,8.641116382,5.673742193,1.871936212,1.4504122424,3277931800,13.55059547,2.500347429,0.0332,33.87605773,48.7066132983,36.1,83.88348026,32.36899323,38.55076817,57.73976417,2747208.438,856242.9394,0.0873840172,37.3046073377
2018 - Period:8,244.9313589,40397389.4,132844.1983472,5871568.6,70004.6555415508,11113304.3152999,98714.3452198757,3119656147.35,8617309.4,11.5999311316,0.5223560268,66.6666666667,75.85,0.61,11.708,0.0257580645,1263.44,42.88,47.36709861,7.713256866,1.87,0.976356202,1.4239844144,3289530263,13.70158946,2.439409675,0.0198,35.60193658,54.3596343564,44.427,87.36488373,34.23075395,41.67147334,60.73202313,2494566.851,718652.2126,0.0584375031,39.0362943522
2018 - Period:9,175.4323186,16067933.4,101446.7048258,6464034,69705.6326770258,12058521.72612,97390.7726099378,2713612918.2,5076808.8,14.0956778128,1.2424036211,100,76.45,0.59,11.63,0.0234993548,566.47,42.88,53.59841379,1.793797042,3.87,0.972309382,1.4915452865,3185984279,13.72856063,2.367340494,0.00167,39.79367136,72.6102340773,42.459,100.8296163,39.40118477,45.60053185,69.42991188,2229095.053,577838.0553,0.0056247818,43.4139950107
2018 - Period:10,168.1066651,3180503,36362.252991,5621661.8,58293.0746651366,4823408.69045799,48695.3863149689,2058039839.8,3113695.2,0.5780088996,37.5865807248,72.131147541,70.2,0.475,11.703,0.0215974194,2476.67,42.7214285714,53.53872788,1.340541225,2.87,1.041042224,1.4900247457,3124817100,13.57297273,2.338756906,0.00218,37.88624673,62.340772999,13.449,100.3921359,43.79453493,46.9843496,67.33642312,1855904.292,414953.9342,0.0099039044,40.993750422
2018 - Period:11,161.529279,285755.2,5232.9680002,63120.8,76482,1929363.4761932,24347.6931674845,1693329718.55,2115462.3,3.4920286354,0.0598269001,82.6530612245,49.4,0.3,11.766,0.0225025806,2461.6,42.14,53.43822255,1.775007406,2.87,1.087742354,1.4934239938,3214807831,13.67638207,2.247411257,0.00131,37.87123719,71.2340772999,24.449,100.7349779,37.81369639,45.79289144,65.67146557,1628818.628,329510.9938,0.0064048263,40.9552809434
2018 - Period:12,151.6422314,1678740,20713.4580002,92837,93847,771745.390487279,12173.8465937422,21744273.6,83790,47.4421876691,88.1827046545,63.4994981599,46.7,0.13,10.943,0.020236129,904.01,42.14,49.37999598,7.267790439,5.688590151,4.273441727,1.4389951387,2937758346,13.12583198,2.370742719,0.0254,35.1600389,63.640772999,45.4439,94.34874349,36.39758362,42.89246365,59.83749185,1565306.078,272019.8263,0.1645536487,37.554776358
2018 - Period:13,130.9373608,1584392,473832,192837,83762,308698.156204911,6086.9233068711,3703613140,467829,32.8804302579,45.3,35.7142857143,35.875,0.285,12.286,0.018483871,3018.03,42.14,49.80659585,8.179073111,2.87,2.273441727,1.4283277709,2904612335,13.03606458,2.356779358,0.0168,35.15751934,76.340772999,36.349,94.34950641,40.11524723,41.11727898,58.65609009,1504338.62,249237.4935,0.1392431769,37.2973554428
